in:0 out:0 type:1 q:811 itex:669377 ptex:0 mv:0 misc:28508 fcode:1 bcode:1 mc-var:0 var:1551765 icount:4800 skipcount:0 hbits:107;
in:1 out:1 type:2 q:236 itex:26682 ptex:603756 mv:9073 misc:42450 fcode:1 bcode:1 mc-var:31372 var:1551765 icount:313 skipcount:14 hbits:55;
in:2 out:2 type:2 q:236 itex:0 ptex:1850 mv:438 misc:5913 fcode:1 bcode:1 mc-var:3274 var:1551765 icount:0 skipcount:4583 hbits:55;
in:3 out:3 type:2 q:236 itex:0 ptex:9 mv:2 misc:4806 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4799 hbits:55;
in:4 out:4 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:5 out:5 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:6 out:6 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:7 out:7 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:8 out:8 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:9 out:9 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:10 out:10 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:11 out:11 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:12 out:12 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:13 out:13 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:14 out:14 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:15 out:15 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:16 out:16 type:2 q:236 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:3231 var:1551765 icount:0 skipcount:4800 hbits:55;
in:17 out:17 type:2 q:351 itex:1135367 ptex:176313 mv:2220 misc:48781 fcode:1 bcode:1 mc-var:6042109 var:2431790 icount:4018 skipcount:273 hbits:55;
in:18 out:18 type:2 q:617 itex:0 ptex:0 mv:38 misc:4835 fcode:1 bcode:1 mc-var:4967 var:2431790 icount:0 skipcount:4791 hbits:55;
in:19 out:19 type:2 q:856 itex:0 ptex:0 mv:8 misc:4809 fcode:1 bcode:1 mc-var:4967 var:2431790 icount:0 skipcount:4798 hbits:55;
in:20 out:20 type:2 q:952 itex:0 ptex:0 mv:4 misc:4805 fcode:1 bcode:1 mc-var:4967 var:2431790 icount:0 skipcount:4799 hbits:55;
in:21 out:21 type:2 q:1010 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:22 out:22 type:2 q:1058 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:23 out:23 type:2 q:1103 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:24 out:24 type:2 q:1146 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:25 out:25 type:2 q:1190 itex:0 ptex:0 mv:0 misc:4808 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:56;
in:26 out:26 type:2 q:1233 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:27 out:27 type:2 q:1275 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:28 out:28 type:2 q:1317 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:29 out:29 type:2 q:1359 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:30 out:30 type:2 q:1401 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:31 out:31 type:2 q:1442 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:32 out:32 type:2 q:1482 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
in:33 out:33 type:2 q:1523 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:4966 var:2431790 icount:0 skipcount:4800 hbits:55;
